item_id|date|category|title|content|link|photo_link
aipl_20210806_1|2021-08-06|政治|東奧奪12面獎牌創紀錄 總統：國訓中心功不可沒|"總統蔡英文今天表示，台灣選手能在奧運殿堂上留下好成績，靠的是選手的拚勁、教練的指導，以及完善的後勤支援團隊；這幾年國訓中心大幅提升硬體設施，強化運動科學團隊對選手的支援，功不可沒。總統晚間在臉書發文指出，奧運接近尾聲，台灣的選手，依然在賽場上堅持展現求勝的意志。她說，今天空手道好手王翌達登上日本武道館，在男子「型」的項目中，全神貫注，打出了兩套具有個人風格的「型」，這是空手道的紮實功夫，也是台灣選手的氣魄，透過轉播都看到了王翌達精采的表現。總統指出，高爾夫球女子組賽事進入第3天，台灣選手徐薇淩暫排名第20名、李旻暫排名第25名，明天還有最後一天賽事，還可以全力追趕，繼續為她們集氣。總統說，截至目前為止，這屆奧運台灣選手已經獲得2金4銀6銅、一共12面獎牌的好成績，總獎牌數創下歷史新高，更超越了前3屆奧運的總和，這樣的好成績，也受到國際媒體和友人的關注。蔡總統表示，能在奧運殿堂上留下好成績，靠的是選手的拚勁、教練的指導，以及完善的後勤支援團隊。總統指出，這幾年國家運動訓練中心大幅提升硬體設施，並強化運動科學團隊對選手的支援，實在是功不可沒。此外，教育部體育署在2018年提出、2019年開始執行的黃金計畫，也取得顯著的成效。總統說，要謝謝所有曾為此奉獻心力的夥伴，奧運過後，體育政策的努力不會停止，成功的經驗要延續，能夠更用心的部分，也一定會加強，期待國人一起保持關心、參與，持續厚植台灣的體育風氣。



延伸閱讀東奧桌球女團寫下新紀錄 總統：給最大掌聲東奧將開幕 蔡總統：預備好掌聲幫台灣選手集氣蔡總統：為奧運國手加油 政府後勤支援責無旁貸"|https://www.cna.com.tw/news/aipl/202108060366.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20210806/1152x768_172949113562.jpg
aipl_20210807_2|2021-08-07|政治|體育署長將功折罪？蘇貞昌：返台後整體檢討|體育署長張少熙為奧運代表團機位風波請辭，但台灣在東京奧運表現亮眼，外界關注是否會將功折罪。行政院長蘇貞昌今天表示，政府雖做足努力，但在機位安排上仍有疏漏，比賽還在進行中，等返國後會做整體的檢討。蘇貞昌今天在行政院祕書長李孟諺、交通部長王國材、立法委員賴品妤、沈發惠陪同下，出席「國道1號汐止交流道增設南入匝道改善工程」開工祈福儀式。台灣選手在東京奧運表現亮眼，至6日止已獲得2金4銀6銅、共12面獎牌，蘇貞昌會前接受訪問時指出，東京奧運讓大家看到台灣子弟真的了不起，在很多領域都有好成績，除了選手長遠的努力，還有民眾的支持與政府的協助。蘇貞昌說，選手享受比賽創造好成績，無論成敗都展現最好風度，讓世界肯定台灣。民眾也展現高風度，沒有噓對手、罵裁判，可見台灣民主越來越成熟，風度、氣度都跨越成敗。蘇貞昌表示，台灣選手得獎時，都向世界提起說自己來自台灣，以國家為榮，為台灣爭光，民眾也與有榮焉，政府一定繼續努力。他說，政府雖然為了備戰東京奧運做足努力，但在機位安排上仍有疏漏，也未有好的說明，奧運賽事還在進行中，等返國後會做整體檢討。台灣選手赴東京參加奧運，原規劃搭商務艙，卻變成經濟艙，在賽前引發軒然大波，體育署長張少熙為此請辭負責。|https://www.cna.com.tw/news/aipl/202108070056.aspx|
aipl_20210807_3|2021-08-07|政治|江啟臣：選黨主席應坦率回答是否選2024總統|國民黨主席選舉升溫，尋求連任的現任黨主席江啟臣今天表示，所有要選主席的人，應坦率回答各種疑問，包括是否參選2024總統，給黨員做一個自由的選擇。國民黨主席選舉將於9月25日進行，在前黨主席朱立倫宣布參選後，對於是否投入2024年總統選舉，他強調會無私無我，派出最強候選人迎戰，但黨內不少人仍認為，朱立倫此次參選的目的就是代表國民黨投入2024 年的總統選戰。江啟臣今天上午到高雄出席黃國山青年終身黨員入黨宣誓、授證儀式。他接受媒體訪問表示，所有要參選國民黨主席的人，應坦率回答各種疑問，包括是否參選2024總統，給黨員做一個自由的選擇，相信以黨員的智慧，能選出帶領國民黨迎向2024年勝選、重返執政的黨主席。江啟臣也表示，雖然國民黨有內部選舉要進行，但整個黨關心的還是全民利益，包括目前防疫狀況，以及何時可以脫離疫情。對於將再度出席美台國防工業會議（US-Taiwan Defense Industry Conference），江啟臣指出，他是在上個月接到美方的邀請，目前已開始籌組代表團，希望藉由台美之間的交流，表達對於美台關係的重視，在國家安全、國防事務上交換意見。訂閱《早安世界》電子報 每天3分鐘掌握10件天下事 請輸入正確的電子信箱格式訂閱感謝您的訂閱！朱立倫日前宣布，如果當選黨主席，將立即籌備駐美辦事處，對此，江啟臣則說，駐美辦公室他去年當選主席後就積極在籌備，去年是因為美國疫情，今年則是遇到台灣疫情爆發，因此雙邊的疫情對於實體辦公室的籌備工作造成干擾，但與美方的溝通聯繫，實際上都在進行。江啟臣表示，不光是辦公室的成立，台美之間實際的還是意見交換，以及國民黨的聲音能在國際上被聽到；光是駐美辦公室沒有辦法解決國民黨目前在國際上發聲的問題，所以去年國民黨開始與主流國際媒體、駐台機構都定期交換意見與見面，希望能達到實際交流，將國民黨的聲音傳達出去。|https://www.cna.com.tw/news/aipl/202108070054.aspx|
aipl_20210806_4|2021-08-06|政治|週末防豪雨  蘇貞昌：支援地方將災害降到最低|行政院長蘇貞昌今天晚間表示，中央氣象局持續對中南部及離島發布大雨、豪雨特報，週末嚴防豪雨，已要求各部會積極聯繫支援地方政府、保持高度警戒，務必把整體災害降到最低。蘇貞昌晚間在臉書指出，受熱帶性低氣壓外圍環流及西南氣流影響，中央氣象局持續對中南部及離島發布大雨、豪雨特報，預計明天和後天上半天，會是下雨最劇烈的時候，請民眾務必留意相關訊息，山區慎防坍方及落石，低窪地區慎防淹水。蘇貞昌說，水災中央災害應變中心因應開設，水利署已啟動水庫調節放水以增加蓄洪空間、預布防水擋板及抽水機等防災物資，並機動調整各項防汛調度。他表示，已要求各部會積極聯繫支援地方政府、保持高度警戒、務必把整體災害降到最低，也請民眾密切注意中央氣象局相關消息，務必做好防災準備。|https://www.cna.com.tw/news/aipl/202108060339.aspx|
aipl_20210806_5|2021-08-06|政治|接受荷蘭媒體專訪 吳釗燮：台灣絕不在壓力下低頭|外交部今天表示，外交部長吳釗燮接受荷蘭媒體訪問時說，中國屢次侵擾台灣防空識別區（ADIZ）及鄰近海域，台灣政府的立場及態度為「絕不在壓力下低頭、絕不放棄民主自由制度」。外交部晚間指出，吳釗燮本月5日接受荷蘭「忠誠報」（Trouw）視訊專訪，深入說明台海情勢、台灣防衛安全等相關議題。「忠誠報」今天刊出專訪內容。吳釗燮受訪時表示，對於中國的軍事擴張、恣意破壞台海現狀與印太區域安全，國際社會近來已多次表達高度關切及擔憂。吳釗燮說，四方安全對話（QUAD）、美韓峰會及歐日領袖峰會等國際重要場合所發表的聲明與公報，均對中國政府的侵略行為表達嚴正關切，強調重視台灣海峽的和平穩定，顯示台海和平不只是兩岸及印太區域議題，更是全球關注焦點。吳釗燮指出，中國政府近年採取「戰狼外交」，極力阻擾國際社會與台灣來往，儘管如此，台灣仍努力以和平方式維持台海穩定。總統蔡英文多次重申台灣「和平、對等、民主、對話」的兩岸政策立場，強調台灣願在平等基礎上與對岸展開對話，共同推動兩岸的和平對話新局。吳釗燮說，面對中國的威脅，台灣積極與包括荷蘭在內的理念相近國家加強合作。台灣樂見荷蘭近來針對中國軍事擴張，破壞國際秩序的作為採取相應作為，例如今年5月派遣巡防艦赴南海，協助提升國際社會關注中國的軍事威脅，共同維護印太地區的和平及穩定。吳釗燮表示，台灣處於中國威脅的最前線，將持續敦促理念相近國家重視台灣的存續及台海和平。除了強化自我防衛能力，台灣也將繼續深化與各國的經貿關係，尤其在綠能、醫療相關產業鏈及半導體等關鍵技術發展，台灣與歐洲各國均有強勁的合作潛能。吳釗燮說，台灣希望透過緊密的經貿關係，持續強化台灣與荷蘭等歐洲各國的實質友好合作。外交部指出，「忠誠報」1943年創刊，為荷蘭全國性主流媒體，曾於2012年獲歐洲報紙獎（European Newspaper Award）肯定。|https://www.cna.com.tw/news/aipl/202108060325.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20210806/1153x768_20210806000161.jpg
aipl_20210806_6|2021-08-06|政治|友邦聖文森總理遇襲受傷 吳釗燮致電慰問|外交部表示，聖文森總理龔薩福遭當地抗議民眾攻擊受傷，外交部長吳釗燮今天上午代表總統蔡英文致電龔薩福，轉達台灣政府及人民的誠摯關心，並預祝早日康復。龔薩福則表達由衷謝忱。龔薩福（Ralph Gonsalves）昨天走進國會時，遭當地抗議民眾攻擊受傷。龔薩福的發言人馬歇爾（Sehon Marshall）接受牙買加媒體訪問時說：「我猜想這個傷勢不會危及性命，但須由衛生官員評估。」外交部指出，吳釗燮致電慰問龔薩福並強調，台聖兩國共享民主價值，也尊重民眾有表達不同意見的自由，但反對任何使用暴力的行為，並對此攻擊行為予以譴責。外交部說，聖文森及格瑞那丁是台灣在加勒比海地區的重要友邦，今年8月15日欣逢兩國建交40週年，龔薩福與吳釗燮在談話中也互相致賀，重申珍視兩國堅實的邦誼。|https://www.cna.com.tw/news/aipl/202108060304.aspx|
aipl_20210806_7|2021-08-06|政治|星對台放寬入境檢疫 外交部：感謝肯定防疫成果|新加坡將對台灣放寬隔離檢疫的相關規範。外交部今天感謝新加坡對台近期防疫成果的肯定，並說這有助台星逐步恢復人員互訪及持續累積經驗與互信，也有助提升雙邊經貿交流，共同為疫後經貿復甦預作準備。新加坡政府宣布，自本月7日深夜11時59分起，出發前21天都待在台灣的旅客抵達新加坡後，須在機場接受PCR核酸檢測，結果若為陰性便不需隔離。外交部發言人歐江安晚間指出，新加坡政府去年12 月18日開放來自台灣的短期旅客入境免隔離，之後因為區域疫情升溫而在今年5月間暫停實施。歐江安說，台灣與新加坡在各領域均有密切合作。在疫情期間，台星也持續就醫療物資供應、防疫經驗、邊境管制等議題交換意見。外交部將繼續密切關注相關發展，並配合中央流行疫情指揮中心的政策及規畫，隨時提供相關資訊及評估。歐江安表示，外交部也提醒規劃前往新加坡的民眾，務必遵守新加坡境內的防疫規定，以維護自身健康及安全。|https://www.cna.com.tw/news/aipl/202108060289.aspx|
aipl_20210806_8|2021-08-06|政治|美參院通過法案促恢復台世衛觀察員地位 外交部感謝|美國參議院通過法案，要求協助台灣重獲世衛觀察員地位。外交部今天感謝美國國會在相關議題所展現的強勁跨黨派支持，並呼籲世衛廣納含台灣在內的各方參與，讓台灣繼續對全球衛生事務做出貢獻。美國參議院今天通過法案，要求強化美國挺台參與世界衛生組織（WHO）的力道。法案指出，病毒無國界，不應將台灣排除在全球衛生合作外，美方應制定策略，協助台灣重獲觀察員地位。訂閱《早安世界》電子報 每天3分鐘掌握10件天下事 請輸入正確的電子信箱格式訂閱感謝您的訂閱！外交部發言人歐江安下午表示，在全球疫情持續延燒之際，台灣防疫成果以及積極協助各國抗疫的行動獲得國際高度肯定，美國行政部門及國會也不斷採取具體行動聲援台灣，呼籲WHO應納台灣參與，讓全球衛生合作沒有漏洞，才能有效共同防疫。歐江安指出，外交部將持續關注這項法案的後續進展，並再度呼籲WHO秉持專業考量，讓台灣以觀察員身分參加世界衛生大會（WHA）以及WHO相關活動。|https://www.cna.com.tw/news/aipl/202108060272.aspx|
aipl_20210806_9|2021-08-06|政治|台帛旅遊泡泡 外交部：配合指揮中心指引推動|外交部今天表示，對於恢復台灣及帛琉間的觀光旅遊，相關單位一直維持密切的溝通聯繫。外交部將在配合指揮中心相關檢疫指引下，加速推動兩國的觀光旅遊。台灣今年4月與帛琉啟動旅遊泡泡，但後續因國內疫情嚴峻，旅遊泡泡也暫停，直到近日國內疫情趨緩才研議重啟。帛琉駐台大使歐克麗（Dilmei L. Olkeriil ）今天表示，如果台灣政府同意的話，台帛將能於近期重啟旅遊泡泡。外交部發言人歐江安傍晚指出，外交部7月26日邀請觀光局及旅遊業者進行會議，討論恢復台帛觀光旅遊的相關細節。台灣希望在確保台帛兩國人民的健康，且符合兩國相關檢疫規範的前提下，儘快恢復雙方的觀光旅遊。歐江安說，相關部會正就台帛旅遊進行協商，出入國境的檢疫措施，將由指揮中心基於專業判斷，統一對外說明。訂閱《早安世界》電子報 每天3分鐘掌握10件天下事 請輸入正確的電子信箱格式訂閱感謝您的訂閱！歐江安表示，帛琉的天然美景向來受到國人喜愛，帛琉的防疫表現也受到國際肯定，至今仍維持零確診紀錄，帛國疫苗施打率也幾乎達到群體免疫標準。歐江安說，帛琉總統惠恕仁（Surangel Whipps, Jr.）最近曾多次表示，在台灣疫情也逐漸獲得良好控制的情況下，甚盼台灣適度放寬赴帛琉旅遊的檢疫規定，以促進台帛觀光以及兩國人民的往來互動。外交部將在配合指揮中心的防疫規範下，審慎且積極推動深化台帛觀光交流合作。|https://www.cna.com.tw/news/aipl/202108060271.aspx|
aipl_20210806_10|2021-08-06|政治|豪雨致災 立委籲開放APP通報農業災損|民進黨立委鍾佳濱等今天說，近日受豪雨影響，農業災損破新台幣1億元，建議農委會開放農民使用農作物天然災害即時回報APP自行通報災損。農委會農試所副所長蔡致榮說，APP目前還在測試中，不是開放農民使用的妥適階段。民進黨立委鍾佳濱、蘇治芬、蔡易餘今天召開「天災救助查估 APP上傳農民可自助」線上記者會。鍾佳濱說，近日受豪雨及颱風影響，農業災損超過1億元，行政院農業委員會西元2018年開發「農作物天然災害即時回報APP」，次年開放農業改良場或農業試驗所約150人使用，建議農委會開放農民使用這個APP，並可擴充功能作為田間作業日誌，農民平時就可上傳種植過程、病蟲害防治等資料，發生災損時也較好驗證及做具體估算。蔡易餘說，受豪雨影響，農損還在持續，二期稻作也可能有遲延性損害，如果能用APP，有泡水淹水狀況就可即時回傳。蘇治芬表示，台灣農業需因應極端氣候，目前農損通報需層層轉達、造成延誤，建議農委會可讓農民自行通報災損，減少行政耗時耗力的問題，也希望導入無人機勘災。嘉義縣朴子市農會總幹事田志強說，災損認定標準不一，導致農民有補助公平性的問題，而農民多為長輩，若APP要開放農民使用，希望簡化介面讓長輩更好上手。農委會農糧署主任秘書陳啟榮說，2019年已訂定農民可拍照存證，只要能標示位置和日期就能當作證據，而讓農民使用APP可提升災害救助效力，節省人力與時間，農委會和農試所等單位最近也在研議，希望朝這個方向進行。訂閱《早安世界》電子報 每天3分鐘掌握10件天下事 請輸入正確的電子信箱格式訂閱感謝您的訂閱！農委會農試所副所長蔡致榮說，APP當初開發時，主要用於農委會內部上傳農作物災害圖片，即時掌握災情，災損認定救助等不在原設計範圍，不確定能否符合相關作業的行政管理，而APP研發有3步驟，由農委會所屬優先測試，再給第一線勘災的地方鄉鎮公所人員使用，最後才是農民參與，APP目前還在測試階段，不是開放農民使用的妥適階段。蔡致榮說，目前APP的圖片回報功能只有上傳圖片搭配簡單文字說明，但如有些作物在地底，面積多大無法呈現，因此能否幫助勘災還需討論，至於蘇治芬提到的無人機協助勘災，目前相關勘災作業已建立SOP（標準操作程序），可提供給縣市政府使用。|https://www.cna.com.tw/news/aipl/202108060270.aspx|
